loan_amount,income,credit_score,age,status
486500,8340,828,35-44,0
176500,9420,588,65-74,1
406500,15240,822,35-44,0
726500,14160,730,>74,1
266500,,858,45-54,1
216500,5160,815,55-64,0
366500,,597,>74,1
566500,6000,731,35-44,0
386500,6900,646,35-44,0
506500,9720,563,35-44,0
226500,4440,525,25-34,0
416500,4260,585,>74,0
176500,3360,783,>74,0
506500,12840,782,55-64,0
396500,21000,540,45-54,1
606500,7800,761,45-54,0
626500,7560,784,25-34,0
576500,11520,725,55-64,0
126500,4680,657,55-64,0
556500,9720,752,35-44,0
546500,8160,715,25-34,0
196500,2760,756,45-54,0
126500,2160,834,35-44,0
356500,4320,557,45-54,1
286500,7440,833,55-64,0
166500,5760,585,65-74,1
226500,2640,880,65-74,0
486500,12300,616,35-44,0
156500,3960,727,>74,1
236500,3720,654,55-64,0
486500,13860,561,55-64,0
186500,5340,791,45-54,0
396500,13140,613,45-54,0
346500,,884,35-44,0
626500,,570,55-64,0
336500,3240,805,>74,0
306500,3600,899,45-54,0
416500,6360,890,65-74,0
436500,14340,545,>74,0
486500,8760,720,35-44,1
286500,4620,775,65-74,1
516500,,722,25-34,0
596500,16680,526,35-44,0
716500,7860,553,25-34,1
566500,16260,561,55-64,0
296500,4680,845,55-64,0
356500,5160,815,<25,0
256500,5760,513,35-44,0
586500,7800,569,45-54,0
626500,9060,898,45-54,0
266500,4260,719,55-64,0
236500,3300,596,25-34,0
286500,4440,879,25-34,0
566500,,814,45-54,0
656500,11100,750,35-44,0
466500,10380,848,25-34,0
186500,5820,549,35-44,1
416500,4560,709,55-64,0
356500,7860,735,25-34,0
386500,6300,829,45-54,1
446500,4800,546,25-34,0
226500,4920,633,55-64,1
296500,10080,547,>74,1
376500,32400,818,35-44,0
326500,16200,776,45-54,0
256500,3120,728,25-34,0
206500,11640,857,45-54,1
216500,,881,55-64,0
706500,17640,899,35-44,0
246500,,629,55-64,0
266500,9180,669,45-54,0
416500,5280,806,35-44,0
376500,13080,680,55-64,1
366500,7140,774,45-54,0
276500,3840,565,35-44,0
496500,16020,654,45-54,0
236500,7800,556,45-54,0
226500,3900,500,65-74,0
346500,3540,686,>74,0
286500,7800,811,>74,0
406500,8160,630,25-34,0
276500,3840,726,45-54,1
166500,,535,25-34,1
366500,3960,653,55-64,0
196500,6120,745,>74,1
216500,0,626,25-34,1
206500,4680,797,35-44,0
146500,2760,697,45-54,0
456500,0,536,55-64,1
536500,10800,763,45-54,0
366500,4860,636,55-64,0
106500,3900,684,55-64,0
136500,0,535,25-34,1
366500,3900,723,35-44,1
336500,4620,617,45-54,0
446500,4080,827,65-74,0
386500,11400,616,25-34,0
696500,13440,766,35-44,0
236500,3900,887,35-44,1
616500,,777,45-54,0
196500,4920,672,55-64,0
576500,8880,623,25-34,0
236500,3180,623,65-74,1
236500,,518,55-64,0
256500,5880,573,45-54,1
376500,,690,65-74,0
286500,,843,35-44,0
446500,7080,553,35-44,0
276500,8280,501,65-74,0
386500,8880,658,25-34,0
216500,6420,525,45-54,0
156500,1920,816,35-44,1
206500,9780,829,45-54,0
296500,4560,527,35-44,1
306500,6120,783,55-64,0
276500,6420,640,45-54,0
296500,21660,500,45-54,0
536500,8340,581,25-34,0
56500,2880,893,65-74,0
366500,4620,797,45-54,0
346500,8400,880,35-44,0
266500,28440,735,55-64,0
306500,4800,608,25-34,1
126500,3240,892,45-54,0
386500,4680,574,25-34,0
136500,3240,707,55-64,1
486500,6600,686,65-74,0
556500,9900,607,25-34,1
226500,5820,561,65-74,0
256500,6300,828,35-44,1
256500,3180,817,65-74,0
296500,6600,640,45-54,0
356500,3120,889,25-34,0
156500,3480,858,>74,0
226500,3900,775,45-54,0
146500,3300,516,35-44,0
616500,,585,55-64,0
326500,8040,581,45-54,0
146500,3720,634,65-74,0
486500,5100,873,45-54,0
356500,9060,862,35-44,0
226500,3240,692,>74,1
86500,2580,846,65-74,0
406500,15540,519,45-54,0
116500,4740,799,35-44,1
216500,2400,810,25-34,0
396500,6840,679,55-64,0
596500,11820,688,35-44,0
516500,9660,558,35-44,0
156500,7200,618,55-64,1
486500,5580,730,35-44,0
346500,4680,652,55-64,0
486500,7800,723,45-54,0
456500,6780,769,55-64,0
336500,,703,45-54,0
536500,16380,575,55-64,0
216500,3360,624,>74,0
186500,4440,715,>74,1
336500,7260,618,45-54,0
326500,15780,817,35-44,1
236500,4140,825,45-54,0
536500,9660,824,35-44,0
76500,2160,572,65-74,0
556500,9660,879,35-44,0
316500,,549,35-44,0
186500,4620,571,25-34,0
506500,7380,708,35-44,0
466500,6540,803,65-74,0
286500,4320,773,35-44,0
726500,18480,867,45-54,0
366500,4200,680,55-64,1
116500,1980,880,55-64,1
246500,6180,663,>74,0
606500,14220,502,45-54,1
226500,8160,583,65-74,0
486500,6420,831,25-34,0
126500,3240,539,65-74,0
266500,5520,869,55-64,0
556500,4860,583,55-64,0
346500,7620,875,35-44,0
266500,,556,35-44,0
106500,5100,855,>74,0
146500,1620,695,45-54,1
516500,11220,706,55-64,0
426500,,822,35-44,0
406500,19020,617,55-64,0
156500,8880,534,35-44,0
226500,5100,766,65-74,1
296500,4500,640,25-34,0
356500,4080,647,25-34,0
106500,3360,525,55-64,0
566500,7920,656,35-44,0
396500,,720,45-54,0
216500,10080,623,55-64,1
206500,6180,718,35-44,0
316500,4020,846,45-54,0
366500,4620,556,55-64,0
386500,4680,864,35-44,1
466500,,867,45-54,0
366500,8100,659,65-74,0
266500,2340,757,45-54,1
366500,9300,580,35-44,0
156500,6780,873,25-34,0
216500,2220,717,45-54,1
346500,,845,55-64,1
126500,,845,,1
626500,7440,756,65-74,0
316500,7020,778,45-54,0
556500,7680,795,45-54,0
176500,3420,744,<25,1
1506500,39300,877,65-74,1
266500,14100,833,45-54,0
726500,17580,762,45-54,0
116500,5880,599,65-74,0
246500,3960,728,45-54,0
456500,5340,556,45-54,1
256500,9000,720,35-44,0
426500,6360,556,25-34,0
246500,2640,749,25-34,0
136500,6360,864,55-64,0
86500,5100,724,35-44,0
316500,4380,544,45-54,0
236500,,723,55-64,0
426500,12840,614,35-44,0
216500,2940,778,35-44,0
116500,1500,646,<25,1
416500,6360,710,45-54,0
606500,,704,65-74,0
126500,3180,663,35-44,1
116500,,714,45-54,0
886500,14580,730,35-44,1
236500,6600,706,25-34,0
296500,3180,811,25-34,0
546500,10560,698,35-44,0
296500,5880,558,45-54,0
576500,16200,636,55-64,0
96500,5100,604,45-54,1
606500,9360,894,45-54,0
66500,1140,618,65-74,0
216500,4800,736,45-54,0
476500,6900,541,45-54,0
166500,1740,607,65-74,1
316500,0,617,35-44,1
546500,,724,25-34,0
496500,13200,865,25-34,0
326500,8580,664,35-44,1
346500,6120,675,65-74,0
226500,5400,583,35-44,1
726500,8760,733,45-54,1
306500,3480,527,65-74,1
436500,6300,613,55-64,0
326500,7980,649,35-44,0
156500,8400,615,>74,0
436500,,646,25-34,0
316500,,607,55-64,0
256500,4440,539,55-64,1
556500,11820,545,25-34,1
86500,2280,848,55-64,1
286500,3240,786,25-34,0
196500,3240,560,35-44,0
376500,3900,771,45-54,0
406500,11760,699,45-54,1
726500,6300,505,65-74,0
336500,3000,786,>74,0
456500,49920,626,35-44,0
156500,12480,569,45-54,0
296500,6600,787,65-74,0
416500,4980,801,45-54,0
316500,7620,743,55-64,0
356500,7020,574,55-64,1
606500,11460,641,55-64,0
326500,5460,784,45-54,0
166500,3600,785,35-44,0
276500,8160,858,45-54,0
116500,5100,617,55-64,0
216500,4620,673,25-34,0
316500,4200,682,35-44,0
386500,4440,597,65-74,1
346500,8220,834,45-54,1
246500,3900,630,45-54,0
406500,6420,884,35-44,0
146500,3000,876,35-44,1
206500,4140,665,65-74,0
116500,2280,628,>74,1
376500,6540,873,55-64,1
216500,3180,860,>74,0
256500,9060,745,35-44,0
636500,7500,501,45-54,0
316500,5400,582,>74,0
346500,10620,716,35-44,0
156500,1440,884,55-64,1
106500,4500,715,>74,0
186500,4800,832,55-64,0
316500,3420,818,65-74,0
166500,6660,550,25-34,0
116500,1140,513,45-54,1
156500,2760,809,>74,0
296500,4260,871,55-64,0
106500,4920,607,55-64,0
486500,4740,797,35-44,1
426500,5340,581,35-44,1
146500,2580,528,>74,0
506500,9060,803,35-44,0
296500,7020,534,35-44,0
346500,3780,732,55-64,1
236500,7320,544,25-34,0
276500,7080,639,45-54,0
336500,2640,590,35-44,1
346500,6360,693,25-34,0
126500,3060,727,45-54,0
816500,12420,876,45-54,0
666500,9120,881,35-44,0
426500,10200,694,45-54,0
596500,,844,25-34,0
286500,8100,509,55-64,0
646500,8640,765,55-64,0
236500,3960,529,45-54,0
256500,3120,782,45-54,1
236500,2220,780,55-64,1
486500,5040,890,25-34,0
486500,6720,867,35-44,1
416500,10140,646,55-64,0
616500,9180,541,35-44,0
186500,3900,821,55-64,0
516500,15360,732,45-54,0
656500,,568,35-44,0
306500,6060,849,45-54,0
646500,13200,875,45-54,0
146500,4680,780,35-44,1
146500,4020,858,35-44,1
236500,2460,577,35-44,1
256500,9180,787,45-54,0
446500,7980,828,45-54,1
276500,2460,561,>74,0
256500,2700,633,45-54,0
486500,22260,771,45-54,0
406500,,843,25-34,0
116500,12360,866,55-64,0
86500,3780,688,55-64,0
276500,10380,598,45-54,1
276500,9780,627,25-34,0
376500,6000,686,65-74,1
196500,5880,856,55-64,0
246500,5160,563,55-64,0
146500,5340,691,35-44,1
326500,10920,899,25-34,0
176500,2700,706,35-44,0
146500,2220,669,55-64,1
376500,6480,743,65-74,0
576500,9780,843,55-64,0
236500,7020,803,45-54,0
306500,0,697,>74,1
576500,6900,609,55-64,0
576500,5220,713,55-64,0
346500,,632,55-64,0
446500,9240,869,55-64,0
286500,10020,865,35-44,0
266500,3120,846,25-34,0
436500,6960,632,35-44,0
86500,6960,852,25-34,1
296500,3360,539,25-34,1
536500,14880,752,25-34,0
116500,3060,829,25-34,0
336500,3600,899,55-64,1
226500,5640,544,25-34,0
166500,4320,898,65-74,1
266500,4320,826,65-74,0
186500,4980,893,35-44,1
226500,6060,764,55-64,0
156500,4140,827,65-74,1
196500,2520,716,65-74,1
86500,2520,827,65-74,0
106500,2040,753,55-64,0
196500,3840,662,45-54,0
386500,,896,25-34,0
106500,1920,627,<25,1
636500,6960,885,45-54,1
216500,3300,769,55-64,0
116500,5700,703,45-54,0
386500,7740,621,55-64,0
76500,1440,630,65-74,1
376500,7680,599,45-54,0
316500,4620,575,>74,0
296500,,892,25-34,0
606500,8400,734,55-64,0
306500,4320,716,45-54,0
596500,13440,538,45-54,0
296500,5280,890,35-44,0
236500,,709,45-54,0
456500,10260,863,25-34,0
286500,6240,822,35-44,1
486500,,697,35-44,0
146500,3840,822,35-44,1
96500,1980,741,>74,0
356500,,504,25-34,0
536500,11340,611,35-44,0
346500,3540,560,25-34,0
466500,6960,706,25-34,0
396500,4860,616,25-34,0
316500,5040,660,45-54,0
116500,3360,664,45-54,0
426500,10920,617,35-44,0
186500,5040,511,35-44,0
166500,4380,785,55-64,1
156500,3840,537,35-44,1
416500,5040,731,45-54,0
366500,4380,634,65-74,0
186500,1560,646,55-64,1
186500,7680,676,35-44,0
206500,7740,588,35-44,1
256500,3960,802,<25,0
176500,2460,811,55-64,0
226500,3360,651,65-74,0
256500,7800,579,45-54,0
316500,8940,872,45-54,1
496500,5340,779,35-44,1
396500,11640,568,45-54,0
416500,11520,539,45-54,0
306500,3120,710,>74,0
436500,5040,764,55-64,0
306500,,680,25-34,1
666500,8520,871,35-44,0
686500,9360,806,35-44,0
476500,7800,900,65-74,1
486500,7380,857,45-54,0
456500,14880,887,55-64,0
336500,11160,772,55-64,0
96500,1680,502,65-74,0
226500,3300,618,>74,0
396500,12960,512,45-54,0
406500,5280,806,25-34,0
246500,2760,534,>74,0
166500,3240,705,35-44,0
236500,8100,620,45-54,0
726500,13800,634,35-44,0
286500,8040,890,55-64,0
166500,4380,899,35-44,0
416500,11340,635,55-64,1
556500,5400,689,55-64,0
686500,16560,622,35-44,0
196500,3900,758,65-74,0
306500,,774,45-54,0
296500,4740,685,45-54,0
66500,3480,808,65-74,0
676500,10020,877,25-34,0
526500,3600,731,55-64,0
416500,8520,877,45-54,0
376500,5760,801,35-44,0
256500,0,780,45-54,1
296500,14100,805,>74,0
216500,,871,45-54,0
166500,6000,570,>74,0
326500,7500,775,65-74,0
96500,2220,626,<25,0
446500,3300,520,35-44,1
126500,2400,702,25-34,0
456500,3840,767,65-74,0
146500,5760,900,45-54,0
346500,5880,611,35-44,0
296500,7020,721,45-54,0
306500,6840,574,35-44,0
246500,6300,900,65-74,0
546500,18720,727,35-44,0
156500,,585,45-54,0
216500,9600,605,55-64,0
406500,9600,607,35-44,0
126500,6360,872,55-64,0
626500,14820,802,55-64,1
346500,3960,609,55-64,0
276500,11640,603,35-44,1
266500,4620,686,55-64,0
426500,8220,513,65-74,1
136500,2820,662,55-64,0
236500,4740,830,25-34,0
226500,7080,781,55-64,0
146500,3540,700,65-74,1
326500,7320,800,25-34,0
516500,5700,688,25-34,0
126500,4020,675,25-34,0
106500,2160,609,45-54,0
226500,6540,653,45-54,0
466500,6180,552,45-54,0
496500,5520,520,35-44,0
96500,2340,865,55-64,0
396500,5520,528,45-54,0
136500,2160,894,45-54,1
326500,6540,818,25-34,0
326500,3300,875,45-54,0
236500,5880,614,35-44,0
326500,13380,653,25-34,1
286500,5400,734,45-54,0
626500,6600,602,45-54,0
396500,,714,25-34,0
496500,11820,573,35-44,0
436500,5880,835,65-74,0
456500,4680,602,35-44,0
326500,7440,532,35-44,0
176500,2580,611,55-64,0
296500,6420,560,35-44,0
536500,6000,715,35-44,0
676500,12420,863,35-44,0
446500,5820,882,35-44,0
476500,9000,556,45-54,0
206500,4860,626,35-44,0
516500,,525,55-64,1
186500,2880,668,25-34,0
276500,4560,866,35-44,0
86500,1620,773,>74,0
166500,4140,751,55-64,0
136500,2460,863,45-54,0
366500,2220,688,45-54,1
196500,5520,622,45-54,0
116500,1500,725,65-74,1
